# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-10-22
# See end of file for additional documentation on specific fields
# Sort	Month	Day	Year	Cyto Location	Gene Symbols	Confidence (deprecated)	Gene Name	MIM Number	Mapping Method	Comments	Phenotypes	Mouse Gene Symbol
10.544	10	11	05	10q25.1	XPNPEP1, SAMP, XPNPEPL		X-prolyl aminopeptidase P1	602443	A, REa			
10.545	11	5	95	10q26.11	GPR10		G protein-coupled receptor-10	600895	A			
10.546	10	29	09	10q26.13	DMBT1		Deleted in malignant brain tumors 1	601969	D			
10.547	9	21	11	10q25.3-q26.1	PDZD8		PDZ domain-containing protein 8	614235	REc			
10.548	3	11	08	10q26.2	BCCIP, TOK1		BRCA2- and CDKN1A-interacting protein	611883	A, REc			
10.549	2	3	16	10q26.13	HTRA1, PRSS11, ARMD7, CARASIL, CADASIL2		HTRA serine peptidase 1	602194	A		{Macular degeneration, age-related, 7}, 610149 (3); {Macular degeneration, age-related, neovascular type}, 610149 (3); CARASIL syndrome, 600142 (3); Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2, 616779 (3)	
10.550	2	25	16	10q26.13	PLEKHA1, TAPP1		Pleckstrin homology domain-containing protein, family A, member 1	607772	REc			
10.551	8	20	98	10q25.3-q26.3	ADORA2L1, ADORA2L		Adenosine A2 receptor-like 1	102777	A			
10.552	7	20	09	10q25.3	ATRNL1, KIAA0534, ALP		Attractin-like 1	612869	R, REc			
10.553	7	1	09	10q26.11	CASC2		Cancer susceptibility candidate 2	608598	REc	head-to-head orientation with RAB11FIP2		
10.554	9	7	10	10q26.13	CHST15, BRAG, KIAA0598		Carbohydrate sulfotransferase 15	608277	R, REa			
10.555	4	7	13	10q26	CORD17		Cone-rod dystrophy 17	615163	Fd	between D10S1757 and D10S1782	Cone-rod dystrophy 17 (2)	
10.556	11	16	08	10q26	DEL10q26, C10q26DEL		Chromosome 10q26 deletion syndrome	609625	Ch		Chromosome 10q26 deletion syndrome (4)	
10.557	4	30	09	10q26.2	DHX32, DDX32		DEAH (Asp-Glu-Ala-His) box polypeptide 32	607960	REc			
10.558	10	3	07	10q26.11	EIF3A, EIF3S10, P167		Eukaryotic translation initiation factor 3, subunit A	602039	REc, A			
10.559	9	1	05	10q26	ENDO1		Endometriosis, susceptibility to, 1	131200	Fd	max lod at D10S587	{Endometriosis, susceptibility to, 1} (2)	
10.560	2	19	04	10q26.13	FGFR2, BEK, CFD1, JWS, TK14, BBDS		Fibroblast growth factor receptor-2 (bacteria-expressed kinase)	176943	A, Psh, Fd		Crouzon syndrome, 123500 (3); Jackson-Weiss syndrome, 123150 (3); Beare-Stevenson cutis gyrata syndrome, 123790 (3); Pfeiffer syndrome, 101600 (3); Apert syndrome, 101200 (3); Saethre-Chotzen syndrome, 101400 (3); Craniosynostosis, nonspecific (3); Gastric cancer, somatic, 613659 (3); Craniofacial-skeletal-dermatologic dysplasia, 101600 (3); Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis, 207410 (3); Scaphocephaly and Axenfeld-Rieger anomaly (3); LADD syndrome, 149730 (3); Scaphocephaly, maxillary retrusion, and mental retardation, 609579 (3); Bent bone dysplasia syndrome, 614592 (3)	7(Fgfr2)
10.561	6	29	98	10q25.3	GFRA1, GDNFRA, GDNFR		GDNF family receptor, alpha-1	601496	A, R			19(Gfra1)
10.562	9	12	93	10q26.3	MGMT		Methylguanine-DNA methyltransferase	156569	REa, A			
10.563	7	28	17	10q26.3	NKX6-2, NKX6B, NKX6.2, SPAX8		NK6 transcription factor related, locus 2 (Drosophila)	605955	REc, R		Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy, 617560 (3)	7(Nkx6b)
10.564	4	20	10	10q26.13	OAT, GACR		Ornithine aminotransferase	613349	S, REa, A, Fd	pseudogene at Xp11.2	Gyrate atrophy of choroid and retina with or without ornithinemia, 258870 (3)	7(Oat)
10.565	5	7	01	10q23.33	PDLIM1, CLP36, CLIM1		PDZ and LIM domain protein 1	605900	A, R, REa			
10.566	1	1	96	10q26.2	PTPRE		Protein tyrosine phosphatase, receptor type, epsilon	600926	A			7(Ptpre)
10.567	12	29	06	10q26.11	RAB11FIP2, KIAA0941		RAB11 family-interacting protein 2	608599	REc			
10.568	1	25	05	10q26	RRIS		Respiratory rhythmicity in sleep	609116	Fd		[Respiratory rhythmicity in sleep] (2)	
10.569	1	31	01	10q26.13	TACC2		Transforming, acidic, coiled-coil-containing protein 2	605302	REc			
10.570	8	17	99	10q26.3	UTF1		Undifferentiated embryonic cell transcription factor 1	604130	A			7(Utf1)
10.571	10	11	12	10q26.12	WDR11, DR11, KIAA1351, BRWD2, HH14		WD repeat-containing protein 11	606417	REc, Ch		Hypogonadotropic hypogonadism 14 with or without anosmia, 614858 (3)	
10.572	4	15	02	10q26.11	EMX2		Empty spiracles, Drosophila, homolog of, 2	600035	REa, A	close to VAX1	Schizencephaly, 269160 (3)	19(Emx2)
10.573	5	23	14	10q26.3	JAKMIP3, C10orf39, NECC2, JAMIP3		Janus kinase and microtubule interacting protein 3	611198	REc			
10.574	3	20	03	10q26.11	EMX2OS		EMX2 opposite strand	607637	REc	non-coding RNA		19(Emx2os)
10.575	5	30	17	10q25.3	PNLIP, PNLIPD		Pancreatic lipase	246600	REa, A	mutation identified in 1 family	?Pancreatic lipase deficiency, 614338 (3)	
10.576	2	2	15	10q25.3	VAX1, MCOPS11		Ventral anterior homeo box 1	604294	H, REc	mutation identified in one MCOPS11 family	?Microphthalmia, syndromic 11, 614402 (3)	19(Vax1)
10.577	12	6	16	10q26.11	INPP5F, SAC2, KIAA0966		Inositol polyphosphate 5-phosphatase F	609389	REc			
10.578	4	17	07	10q26.11	MCMBP, C10orf119		Minichromosome maintenance complex-binding protein	610909	R, REc			
10.579	9	23	13	10q26.11	NANOS1, NOS1, SPGF12		NANOS, Drosophila, homolog of, 1	608226	R, REc		Spermatogenic failure 12, 615413 (3)	
10.580	1	2	14	10q26.11	SFXN4, COXPD18		Sideroflexin 4	615564	REc		Combined oxidative phosphorylation deficiency 18, 615578 (3)	
10.581	1	25	18	10q26.11-q26.12	SEC23IP		Sec23-interacting protein	617852	REc			
10.582	1	16	07	10q25.3	HSPA12A, KIAA0417		Heat-shock 70kD protein 12A	610701	R, REc			19(Hspa12a)
10.583	2	10	17	10q26.13	CPXM2, CPX2		Carboxypeptidase X, M14 family, member 2	617348	REc			
10.584	4	23	08	10q26.13	CTBP2		C-terminal-binding protein 2	602619	REc			
10.585	11	20	15	10q26.13	CUZD1, ERG1, ITMAP1		Cub and zona pellucida-like domains 1	616644	REc			
10.586	12	6	17	10q26.13	EEF1AKMT2, METTL10		EEF1A lysine methyltransferase 2	617794	REc			
10.587	1	9	17	10q26.13	FAM53B, KIAA0140		Family with sequence similarity 53, member B	617289	Psh, REc			
10.588	4	23	09	10q26.13	FAM175B, ABRO1, KIAA0157		Family with sequence similarity 175, member B	611144	Psh, REc			
10.589	4	26	10	10q26.13	HMX3, NKX5.1		H6 family homeobox 3	613380	REc			7(Hmx3)
10.590	9	27	17	10q26.13	IFZF5, ZNFN1A5, PEGASUS		Ikaros family zinc finger 5	606238	REc			
10.591	12	5	16	10q26.13	LHPP		Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	617231	REc			
10.592	3	10	11	10q26.13	LOC387715, ARMD8		LOC387715 gene	611313	REc, Fd		{Macular degeneration, age-related, 8}, 613778 (3)	
10.593	1	20	16	10q26.2	MMP21, HTX7		Matrix metalloproteinase 21	608416	REc		Heterotaxy, visceral, 7, autosomal, 616749 (3)	
10.594	9	9	09	10q26.13	NSMCE4A, NSE4A		Non-SMC element 4, S. cerevisiae, homolog of, A	612987	REc			
10.595	4	6	15	10q26.13	PSTK, C10orf89		Phosphoseryl-tRNA kinase	611310	R, REc			
10.596	1	23	08	10q26.13	ZRANB1, TRABID		Zinc finger- and RAN-binding domain-containing protein 1	611749	R, REc			
10.597	6	3	98	10q26.2	DOCK1, DOCK180		Dedicator of cytokinesis-1	601403	A			
10.598	10	25	17	10q26.2	C10orf90, FATS		Chromosome 10 open reading frame 90	617735	REc			
10.599	9	26	16	10q26.2	FAM196A, C10orf141, INSYN2		Family with sequence similarity 196, member A	617129	REc			
10.600	12	18	07	10q26.2	FANK1		Fibronectin type III and ankyrin repeat domains 1	611640	R, REc			
10.601	11	23	16	10q26.2	FOXI2		Forkhead box I2	617202	REc			
10.602	8	17	09	10q26.2	NPS		Neuropeptide S	609513	REc			
10.603	3	27	15	10q26.3	ECHS1, SCEH, ECHS1D		Enoyl-CoA hydratase, short-chain, 1, mitochondrial	602292	A		Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency, 616277 (3)	
10.604	5	11	00	10q26.13	GPR26		G protein-coupled receptor 26	604847	A			
10.605	7	13	98	10q26.3	ADAM8, CD156		A disintegrin and metalloprotease domain 8	602267	A			7(Adam8)
10.606	12	11	98	10q26.2	ADAM12, MLTN		A disintegrin and metalloproteinase domain 12 (Meltrin-alpha, mouse, homolog of)	602714	A, R			
10.607	9	1	16	10q26.3	ADGRA1, GPR123, KIAA1828		Adhesion G protein-coupled receptor A1	612302	REc			
10.608	6	10	11	10q26.3	BNIP3, NIP3		BCL2/adenovirus E1B 19-kD protein-interacting protein 3	603293	REc			
10.609	6	27	14	10q26.3	CALY, DRD1IP		Calcyon neuron-specific vesicular protein	604647	REc			
10.610	2	9	17	10q26.3	EBF3, COE3, HADDS		Early B-cell factor 3	607407	REc		Hypotonia, ataxia, and delayed development syndrome, 617330 (3)	
10.611	10	25	17	10q26.3	FUOM, FUCU		Fucose mutarotase	617725	REc			
10.612	5	12	09	10q26.3	GLRX3, PICOT		Glutaredoxin 3	612754	REc			
10.613	1	20	98	10q26.3	INPP5A		Inositol polyphosphate-5-phosphatase, 40kD	600106	A			
10.614	2	25	15	10q26.3	KNDC1, RASGEF2, KIAA1768		Kinase noncatalytic C-lobe domain-containing protein 1	616237	R, REc			
10.615	7	18	14	10q26.3	PAOX, PAO		Polyamine oxidase	615853	REc			7(Paox)
10.616	9	8	11	10q26.3	PPP2R2D		Protein phosphatase 2, regulatory subunit B, delta	613992	REc			
10.617	12	20	05	10q26.3	PRAP1		Proline-rich acidic protein 1	609776	R, REc			
10.618	12	1	06	10q26.3	SPRN, SHADOO, SHO		Shadow of prion protein	610447	REc			7(Sprn)
10.619	5	23	16	10q26.3	SYCE1, POF12, SPGF15		Synaptonemal complex central element protein 1	611486	REc	mutation identified in 1 POF12 and 1 SPGF15 family	?Premature ovarian failure 12, 616947 (3); ?Spermatogenic failure 15, 616950 (3)	
10.620	12	22	17	10q26.3	TUBGCP2, GCP2, GRIP103, SPC97, ALP4		Tubulin-gamma complex-associated protein 2	617817	REc			
10.621	6	12	12	10q26.3	VENTX, VENTX2, HPX42B		VENT homeobox	607158	A			
11.1	2	22	18	11q14.1	ALG8, CDG1H, PCLD3		Alg8, S. cerevisiae, homolog of	608103	REc		Congenital disorder of glycosylation, type Ih, 608104 (3); Polycystic liver disease 3 with or without kidney cysts, 617874 (3)	
11.2	12	11	01	11p15.2	RRAS2, TC21		Related Ras viral oncogene homolog 2	600098	R		Ovarian carcinoma (3)	
11.3	7	20	09	11p15.4	AMPD3		Adenosine monophosphate deaminase-3, isoform E	102772	REa		[AMP deaminase deficiency, erythrocytic], 612874 (3)	7(Ampd3)
11.4	5	4	12	11p13	CD44, MDU2, MDU3, MIC4, IN		CD44 antigen (homing function)	107269	S		[Blood group, Indian system], 609027 (3)	2(Ly24)
11.5	3	6	94	11pter-p11.2	TP250		T-cell activation antigen p250	186710	S			
11.6	5	12	08	11p15.5	AP2A2, KIAA0899		Adaptor-related protein complex 2, alpha-2 subunit	607242	R, REc			
11.7	8	4	97	11p15.5	ASCL2		Achaete-scute complex, Drosophila, homolog-like 2	601886	A			
11.8	9	23	13	11p15.5	BET1L, GS15		BET1-like protein	615417	REc			
11.9	5	23	13	11p15.5	BRSK2, SAD1, PEN11B		BR serine/threonine kinase 2	609236	A			
11.10	8	20	07	11p15.5	C11orf21		Chromosome 11 open reading frame 21	611033	REc			
11.11	11	4	93	11p15.4	CARS		Cysteinyl-tRNA synthetase	123859	REa, A			
11.12	7	20	06	11p15.5	CD151, PETA3, SFA1, MER2		CD151 antigen	602243	A, S, REa		Nephropathy with pretibial epidermolysis bullosa and deafness, 609057 (3); [Blood group, Raph], 179620 (3)	
11.13	12	10	10	11p15.5	CDHR5, MUCDHL		Cadherin-related family, member 5	606839	REc			
11.14	7	20	12	11p15.4	CDKN1C, KIP2, BWS, IMAGE		Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	600856	A, Ch, Fd	rare cause of BWS	Beckwith-Wiedemann syndrome, 130650 (3); IMAGE syndrome, 614732 (3)	7(Kip2)
11.15	12	19	11	11p15.5	CEND1, BM88		Cell cycle exit and neuronal differentiation 1	608213	REc, A			
11.16	3	14	14	11p15.5	CHID1, SICLP		Chitinase domain-containing protein 1	615692	REc			
11.17	11	28	01	11p15.4	CHRNA10		Cholinergic receptor, neuronal nicotinic, alpha polypeptide 10	606372	A, R			
11.18	5	31	06	11p15.5	CTSD, CPSD, CLN10		Cathepsin D (lysosomal aspartyl protease)	116840	REa, A		Ceroid lipofuscinosis, neuronal, 10, 610127 (3)	
11.19	11	15	16	11p15.5	DEAF1, SPN, ZMYND5, MRD24		Deaf1, Drosophila, homolog of	602635	REc	mutation identified in 1 DYSEIDD family	Mental retardation, autosomal dominant 24, 615828 (3); ?Dyskinesia, seizures, and intellectual developmental disorder, 617171 (3)	
11.20	11	16	10	11p15.5	DRD4		Dopamine receptor D4	126452	Fd	proximal to HRAS	Autonomic nervous system dysfunction (3); [Novelty seeking personality], 601696 (1); {Attention deficit-hyperactivity disorder}, 143465 (3)	
11.21	3	9	98	11p15.5	DUSP8, HVH8		Dual specificity phosphatase-8	602038	A	pseudogene on 10q11.2		7(Dusp8)
11.22	9	6	11	11p15.5	EFCAB4A, CRACR2B		EF-hand calcium-binding domain-containing protein 4A	614177	REc			
11.23	7	23	09	11p15.5	H19, D11S813E, ASM1, BWS, WT2		H19 gene	103280	REa, A, RE	same 200kb fragment as IGF2	Beckwith-Wiedemann syndrome, 130650 (3); Silver-Russell syndrome, 180860 (3); Wilms tumor 2, 194071 (3)	7(H19)
11.24	4	23	08	11p15.5	HCCA2		HCCA2 gene	611969	REc			
11.25	2	3	15	11p15.5	ICR1		H19-IGF2-imprinting control region	616186	REn		Beckwith-Wiedemann syndrome, 130650 (3)	
11.26	8	9	12	11p15.5	IFITM1, IFI17, LEU13		Interferon-induced transmembrane protein 1	604456	R, REc			
11.27	8	9	12	11p15.5	IFITM2		Interferon-induced transmembrane protein 1	605578	R, REc			
11.28	7	20	12	11p15.5	IFITM3		Interferon-induced transmembrane protein 3	605579	R, REc		{Influenza, severe, susceptibility to}, 614680 (3)	
11.29	9	21	12	11p15.5	IFITM5, OI5		Interferon-induced transmembrane protein 5	614757	REc		Osteogenesis imperfecta, type V, 610967 (3)	
11.30	5	13	15	11p15.5	IRF7, IRF7A, IRF7B, IRF7C, IRF7H, IMD39		Interferon regulatory factor 7	605047	REc	mutation identified in 1 family	?Immunodeficiency 39, 616345 (3)	
11.31	10	28	10	11p15.5-p15.4	KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2		Potassium voltage-gated channel, KQT-like subfamily, member 1	607542	Fd		Long QT syndrome 1, 192500 (3); Jervell and Lange-Nielsen syndrome, 220400 (3); Atrial fibrillation, familial, 3, 607554 (3); Short QT syndrome 2, 609621 (3); {Long QT syndrome 1, acquired, susceptibility to}, 192500 (3)	7(Kcnq1)
11.32	8	25	03	11p15.4	LCRB		Locus control region beta	152424	REc		Thalassemia, Hispanic gamma-delta-beta, 613985 (3)	
11.33	9	9	09	11p15.5	MIR210, MIRN210		Micro RNA 210	612982	REc			
11.34	3	31	09	11p15.4	MRGPRG, MRGG		MAS-related G protein-coupled receptor family, member G	607234	REc			
11.35	8	28	92	11p15.5	MUC2		Mucin 2, intestinal/tracheal	158370	REa			
11.36	6	13	95	11p15.5	MUC5AC, MUC5		Mucin 5, subtypes A and C, tracheobronchial/gastric	158373	REa, A			
11.37	6	14	18	11p15.4	HBB, ECYT6		Hemoglobin beta	141900	LD, AAS, F, Fd	pseudogene HBBP1 between HBG and HBD loci	Sickle cell anemia, 603903 (3); Thalassemia, beta, 613985 (3); Methmoglobinemia, beta type, 617971 (3); Heinz body anemia, 140700 (3); Thalassemia-beta, dominant inclusion-body, 603902 (3); Delta-beta thalassemia, 141749 (3); Hereditary persistence of fetal hemoglobin, 141749 (3); {Malaria, resistance to}, 611162 (3); Erythrocytosis 6, 617980 (3)	7(Hbb)
11.38	6	16	97	11p15.4	HBD		Hemoglobin delta	142000	AAS		Thalassemia, delta- (3); Thalassemia due to Hb Lepore (3)	
11.39	11	13	07	11p15.4	HBG1		Hemoglobin, gamma A	142200	RE		Fetal hemoglobin quantitative trait locus 1, 141749 (3)	
11.40	6	15	11	11p15.4	HBG2, TNCY		Hemoglobin, gamma G	142250	RE		Fetal hemoglobin quantitative trait locus 1, 141749 (3); Cyanosis, transient neonatal, 613977 (3)	
11.41	3	1	89	11p15.4	HBE1		Hemoglobin epsilon	142100	RE			
11.42	6	18	15	11p15.5	HRAS		Harvey rat sarcoma viral (v-Ha-ras) oncogene homolog	190020	S	pseudogene HRASP on X	{Bladder cancer, somatic}, 109800 (3); Costello syndrome, 218040 (3); {Thyroid carcinoma, follicular, somatic}, 188470 (3); Congenital myopathy with excess of muscle spindles, 218040 (3); {Nevus sebaceous or woolly hair nevus, somatic}, 162900 (3); Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic, 163200 (3); {Spitz nevus or nevus spilus, somatic}, 137550 (3)	7(Hras1)
11.43	7	28	15	11p15.5	IGF2, GRDF		Insulin-like growth factor-2, or somatomedin A	147470	REa, A, RE	mutation identified in 1 GRDF family	?Growth restriction, severe, with distinctive facies, 616489 (3)	7(Igf2)
11.44	7	8	13	11p15.5	IGF2AS, PEG8		Insulin-like growth factor II, antisense	610146	REc			
11.45	2	5	15	11p15.5	INS, MODY10, IDDM2		Insulin	176730	HS, A, REb, Fd, D	5'--INS-12.6kb-IGF2--3'; cen-HBBC-10cM-INS-2cM-HRAS1-3cM-TH	Hyperproinsulinemia, 616214 (3); Maturity-onset diabetes of the young, type 10, 613370 (3); Diabetes mellitus, permanent neonatal, 606176 (3); Diabetes mellitus, insulin-dependent, 2, 125852 (3)	6(Ins1); 7(Ins2)
11.46	2	28	03	11p15.5	IRDN, ILPR		Insulin-related DNA polymorphism (insulin-related VNTR)	147510	Fd			
11.47	5	22	07	11p15.4	KCNQ1DN		KCNQ1 downstream neighbor	610980	REc			
11.48	4	29	17	11p15.5	PHRF1, KIAA1542		PHD and RING finger domain-containing protein 1	611780	R, REc			
11.49	8	16	99	11p15.5	KCNQ1OT1, LIT1		KCNQ1-overlapping transcript 1	604115	REc		Beckwith-Wiedemann syndrome, 130650 (3)	7(Kcnq10t1)
11.50	12	19	90	11p15.5	KRTAP5-1, KRN1L		Keratin associated protein 5-1	148022	A			
11.51	3	23	93	11p15.5	LSP1		Lymphocyte-specific protein pp52	153432	A			
11.52	11	22	13	11p15.5	MIR675		Micro RNA 675	615509	REc			
11.53	3	7	06	11p15.5	NALP6, PYPAF5		NACHT domain-, leucine-rich repeat-, and PYD-containing protein 6	609650	REc			
11.54	6	9	98	11p15.4	NAP1L4, NAP2L, NAP2		Nucleosome assembly protein 1-like 4	601651	REc			
11.55	1	27	04	11p15.5	ODF3, SHIPPO1		Outer dense fiber of sperm tails 3	608356	REc			7(Odf3)
11.56	5	23	13	11p15.4	PGAP2, FRAG1, HPMRS3, MRT17, MRT21		Post-GPI attachment to proteins 2	615187	A, R		Hyperphosphatasia with mental retardation syndrome 3, 614207 (3)	
11.57	7	14	16	11p15.5	PGGHG, ATHL1		Protein-glucosylgalactosylhydroxylysine glucosidase	617032	REc			
11.58	10	28	04	11p15.4	PHLDA2, TSSC3, IPL, BRW1C		Pleckstrin homology-like domain, family A, member 2	602131	REn			7(Ipl)
11.59	11	11	14	11p15.5	PIDD1, LRDD		p53-induced death domain protein 1	605247	REc, H			
11.60	1	24	07	11p15.5	PNPLA2, TTS2, ATGL		Patatin-like phospholipase domain-containing protein 2	609059	R		Neutral lipid storage disease with myopathy, 610717 (3)	7(Pnpla2)
11.61	9	24	12	11p15.5	PSMD13, S11		Proteasome 26S subunit, non-ATPase, 13	603481	REc, R			
11.62	5	26	09	11p15.5	PTDSS2, PSS2		Phosphatidylserine synthase 2	612793	REc			
11.63	9	7	12	11p15.5	RASSF7, C11orf13, HRC1		RAS association domain family, member 7	143023	REn	29kb 5' to HRAS1; divergently transcribed		
11.64	12	10	12	11p15.5	RIC8A		Ric8, C. elegans, homolog of, A	609146	REc, R			
11.65	1	22	15	11p15.5	RNH1, RNH		Ribonuclease/angiogenin inhibitor 1	173320	REa, A			
11.66	12	22	98	11p15.5	RPL23L, L23MRP, MRPL23		Ribosomal protein L23-like (L23 mitochondrial-related protein)	600789	REn			
11.67	6	22	12	11p15.5	RPLP2		Ribosomal phosphoprotein, large, P2	180530	REc			
11.68	7	13	93	11p15.4	RRM1		Ribonucleotide reductase, M1 polypeptide	180410	S, REa, A			7(Rrm1)
11.69	2	25	15	11p15.5	SCGB1C1, RYD5		Secretoglobin, family 1C, member 1	610176	REc			
11.70	2	14	01	11p15.5	SCT		Secretin	182099	R			
11.71	1	30	01	11p15.5	SIGIRR		Single immunoglobulin domain-containing IL1R-related protein	605478	R			
11.72	5	4	00	11p15.5	SIRT3, SIR2L3		Sirtuin, S. cerevisiae, homolog 3	604481	REc			
11.73	2	3	00	11p15.4	SLC22A1LS, ORCTL2S, BWSCR1B		Solute carrier family 22, member 1-like-antisense	603240	REc			
11.74	6	23	11	11p15.4	SLC22A1L, BWSCR1A, IMPT1		Solute carrier family 22, member 1-like (Beckwith-Wiedemann region 1A; organic-cation transporter-like 2)	602631	REn		Breast cancer, somatic, 114480 (3); Rhabdomyosarcoma, somatic, 268210 (3); Lung cancer, somatic, 211980 (3)	
11.75	4	7	05	11p15.5	SLC25A22, GC1, EIEE3		Solute carrier family 25 (mitochondrial carrier, glutamate), member 22	609302	REc, Fd		Epileptic encephalopathy, early infantile, 3, 609304 (3)	
11.76	12	11	03	11p15.5	SLEN3		Systemic lupus erythematosus with nephritis, susceptibility to, 3	607967	Fd		{Systemic lupus erythematosus with nephritis, susceptibility to, 3} (2)	
11.77	7	17	14	11p15.4	STIM1, TAM1, IMD10, STRMK		Stromal interaction molecule 1	605921	REn		Immunodeficiency 10, 612783 (3); Myopathy, tubular aggregate, 1 160565 (3); Stormorken syndrome, 185070 (3)	
11.78	5	22	13	11p15.5	SYT8		Synaptotagmin 8	607719	REc			
11.79	1	20	09	11p15.5	TH, TYH		Tyrosine hydroxylase	191290	REa, A, Fd, RE	distal to HRAS1	Segawa syndrome, recessive, 605407 (3)	7(Th)
11.80	3	3	03	11p15.5	TNNI2, AMCD2B, DA2B, FSSV		Troponin I, fast-twitch skeletal muscle isoform	191043	R, Fd		Arthrogryposis multiplex congenita, distal, type 2B, 601680 (3)	
11.81	8	11	03	11p15.5	TNNT3, AMCD2B, DA2B, FSSV		Troponin-T3, skeletal, fast	600692	REa, A, Fd		Arthrogryposis, distal, type 2B, 601680 (3)	7(Tnnt3)
11.82	3	8	07	11p15.4	TRIM21, SSA1, RO52		Tripartite motif-containing protein 21	109092	A			
11.83	7	9	06	11p15.5	TOLLIP		Toll-interacting protein	606277	R, REc			
11.84	1	14	14	11p15.4	TPP1, CLN2, SCAR7		Tripeptidyl peptidase 1	607998	Fd, LD		Ceroid lipofuscinosis, neuronal, 2, 204500 (3); Spinocerebellar ataxia, autosomal recessive 7, 609270 (3)	
11.85	1	14	02	11p15.5	TRPM5, MTR1		Transient receptor potential cation channel, subfamily M, member 5 (MLSN1- and TRP-related gene 1)	604600	REc	maternal allele imprinted		7(Mtr1)
11.86	1	20	06	11p15.5	TSPAN4, TM4SF7, NAG2		Tetraspanin 4	602644	REc			
11.87	1	20	06	11p15.5	TSPAN32, PHEMX, TSSC6		Tetraspanin 32	603853	RE	not imprinted		
11.88	11	2	04	11p15.4	TSSC2		Tumor-suppressing subtransferable fragment candidate gene 2	608999	REc			
11.89	8	31	99	11p15.5	TSSC4		Tumor-suppressing subchromosomal transferable fragment cDNA 4	603852	RE	not imprinted		
11.90	3	9	98	11p15.4	ZNF195		Zinc finger protein-195	602187	REc			
11.91	12	4	02	11p15.4	FXC1, TIMM10B		Fracture callus 1, rat, homolog of	607388	A, R			
11.92	7	13	93	11p15.4	ARHG		ras homolog gene family, member G (rho G)	179505	A			
11.93	3	6	94	11p15.4	CCKBR, GASR		Cholecystokinin B receptor	118445	REa, A			7(Cckbr)
11.94	12	17	87	11p15.4	HPX		Hemopexin	142290	REa, A			
11.95	6	25	99	11p15.4	ILK, P59		Integrin-linked kinase	602366	A			
11.96	2	26	08	11p15.4	MRPL17		Mitochondrial ribosomal protein L17	611830	R			
11.97	2	20	97	11p15.5	MUC6		Mucin 6, gastric	158374	A	order: tel-HRAS-MUC6-MUC2-MUC5AC-MUC5B-IGF2-cen		
11.98	8	9	01	11p15.5	TALDO1		Transaldolase-1	602063	REa, A, R	pseudogene on chr.1	Transaldolase deficiency, 606003 (3)	
11.99	10	16	89	11p15.1	LDHC, LDH3		Lactate dehydrogenase C	150150	REa, A, REb	closely linked to LDHB in other species; in man syntenic with LDHA; ?close to LDHA		7(Ldh3)
11.100	7	15	99	11p15.4	ADM		Adrenomedullin	103275	REa			7(Adm)
11.101	10	2	12	11p15.4	ARFIP2, POR1		ADP-ribosylation factor-interacting protein 2	601638	REc			
11.102	4	13	15	11p15.4	BGLT3, LINC01083		Beta-globin locus transcript 3, noncoding	616308	REc			
11.103	3	20	09	11p15.4	CYB5R2		Cytochrome b5 reductase 2	608342	REc			
11.104	11	17	15	11p15.4	DCHS1, PCDH16, FIB1, CDH19, VMLDS1, MVP2		Dachsous, Drosophila, homolog of, 1	603057	REc		Van Maldergem syndrome 1, 601390 (3); Mitral valve prolapse 2, 607829 (3)	
11.105	1	11	17	11p15.4	DENND5A, RAB6IP1, KIAA1091, EIEE49		DENN domain-containing protein 5A	617278	REc		Epileptic encephalopathy, early infantile, 49, 617281 (3)	
11.106	12	27	16	11p15.4	DHND1, FLJ00251		Dynein heavy chain domain 1	617277	REc			
11.107	10	3	07	11p15.4	EIF3F, EIF3S5		Eukaryotic translation initiation factor 3, subunit F	603914	REc			
11.108	12	8	14	11p15.4	GVINP1, VLIG1		GTPase, very large interferon-inducible, pseudogene 1	616121	REc			7(Gvin1)
11.109	8	17	09	11p15.1	LDHA, LDH1, GSD11		Lactate dehydrogenase A	150000	S, D, REb, C, A		Glycogen storage disease XI, 612933 (3)	7(Ldh1)
11.110	3	31	09	11p15.4	MRGPRE, MRGE		Mas-related G protein-coupled receptor family, member E	607232	REc			
11.111	4	30	91	11p15.1	MYOD1, MYF3		Myogenic factor-3	159970	REa, A	proximal to CALCA, HBB, BWS, PTH; ?11p14.3		7(Myod1)
11.112	4	17	13	11p15.4	NLRP1, NALP14, NOD5		NLR family, pyrin domain containing 1	609665	REc			
11.113	8	8	13	11p15.4	OR10A1		Olfactory receptor, family 10, subfamily A, member 1	608493	REc, A			
11.114	8	8	13	11p15.4	OR2D2		Olfactory receptor, family 2, subfamily D, member 2	608494	REc, A			
11.115	8	19	13	11p15.4	OR51E1, DGPCR, PSGR2		Olfactory receptor, family 51, subfamily E, member 1	611267	REn			
